argument,dot,hist,scatter,grid,hex,bar,barBinary,bar2,gg_violin,gg_density,gg_lollipop,gg_boxplot,gg_cumcurve,gg_column,gg_lollipop2,gg_pie,gg_donut,gg_column2,gg_barcode,gg_dotstrip,gg_poppyramid,gg_freqpolygon,gg_barcode2,gg_barcode3,gg_beeswarm,gg_ridgeline,gg_gridplot,gg_quasirandom,gg_divergingstackedbar,gg_multi,gg_multi_col,gg_multi_stack,gg_multi_binary
colby,p,,p,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,
sizeby,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symbolby,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate.id,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate.col,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate.extreme,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate.same.level,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highlight,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlim,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ylim,,,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
zoombars,,,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
hide.legend,p,,p,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.value,i,i,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.alt,i,i,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.var.equal,i,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.use.exact,,,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.test,i,i,,,,i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis.simulated.p.value,,,,,,i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis,i,i,,,,i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,
pch,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col.pt,p,,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col.fun,p,,p,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
col.emph,p,,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col.emphn,p,,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emph.on.top,p,,p,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col.default,p,p,p,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
